date,category,description,amount,type
18-08-2024,Transport,Transport transaction,4066.89,Expense
23-03-2024,Groceries,Groceries transaction,65.74,Expense
20-02-2024,Health,Health transaction,1134.21,Expense
13-02-2024,Health,Health transaction,3515.35,Expense
26-06-2024,Rent,Rent transaction,2705.55,Expense
13-07-2024,Food,Food transaction,3790.14,Expense
25-07-2024,Rent,Rent transaction,3532.2,Expense
05-11-2024,Transport,Transport transaction,1790.27,Expense
25-08-2024,Bonus,Bonus transaction,46176.77,Income
07-12-2024,Rent,Rent transaction,3433.55,Expense
24-02-2024,Bonus,Bonus transaction,68000.83,Income
29-04-2024,Health,Health transaction,127.33,Expense
09-06-2024,Bonus,Bonus transaction,34937.23,Income
14-09-2024,Entertainment,Entertainment transaction,1035.4,Expense
01-05-2024,Food,Food transaction,3142.74,Expense
01-04-2024,Shopping,Shopping transaction,4853.22,Expense
22-12-2024,Food,Food transaction,3769.1,Expense
23-01-2024,Investment,Investment transaction,57549.75,Income
06-05-2024,Food,Food transaction,304.61,Expense
19-09-2024,Utilities,Utilities transaction,4091.69,Expense
13-01-2024,Shopping,Shopping transaction,1027.31,Expense
20-05-2024,Groceries,Groceries transaction,1146.61,Expense
06-08-2024,Transport,Transport transaction,4903.83,Expense
29-12-2024,Utilities,Utilities transaction,894.8,Expense
12-08-2024,Investment,Investment transaction,33240.98,Income
23-11-2024,Gift,Gift transaction,37720.83,Income
31-05-2024,Rent,Rent transaction,510.54,Expense
25-08-2024,Shopping,Shopping transaction,3917.95,Expense
31-05-2024,Utilities,Utilities transaction,2299.21,Expense
17-01-2024,Bonus,Bonus transaction,43159.96,Income
07-11-2024,Rent,Rent transaction,4245.09,Expense
12-09-2024,Groceries,Groceries transaction,393.82,Expense
10-04-2024,Health,Health transaction,3573.75,Expense
20-05-2024,Freelance,Freelance transaction,28595.44,Income
18-11-2024,Rent,Rent transaction,3074.85,Expense
15-06-2024,Health,Health transaction,2001.85,Expense
14-03-2024,Transport,Transport transaction,2865.5,Expense
07-06-2024,Transport,Transport transaction,3351.43,Expense
24-07-2024,Utilities,Utilities transaction,4928.97,Expense
07-07-2024,Transport,Transport transaction,806.02,Expense
07-10-2024,Groceries,Groceries transaction,1898.34,Expense
26-02-2024,Salary,Salary transaction,74091.35,Income
25-11-2024,Gift,Gift transaction,14912.92,Income
25-05-2024,Travel,Travel transaction,4491.46,Expense
25-04-2024,Bills,Bills transaction,1444.71,Expense
20-10-2024,Groceries,Groceries transaction,4855.52,Expense
23-09-2024,Shopping,Shopping transaction,4156.95,Expense
11-07-2024,Utilities,Utilities transaction,4710.46,Expense
23-04-2024,Investment,Investment transaction,76425.54,Income
06-01-2024,Freelance,Freelance transaction,58959.85,Income
22-07-2024,Health,Health transaction,3020.44,Expense
04-02-2024,Rent,Rent transaction,505.03,Expense
02-02-2024,Transport,Transport transaction,1779.25,Expense
05-09-2024,Gift,Gift transaction,76502.72,Income
13-02-2024,Rent,Rent transaction,3764.18,Expense
26-04-2024,Travel,Travel transaction,4306.74,Expense
04-04-2024,Travel,Travel transaction,2828.22,Expense
06-05-2024,Rent,Rent transaction,659.79,Expense
25-09-2024,Groceries,Groceries transaction,1954.71,Expense
10-08-2024,Utilities,Utilities transaction,4032.45,Expense
07-11-2024,Freelance,Freelance transaction,74098.18,Income
04-02-2024,Travel,Travel transaction,4498.55,Expense
17-06-2024,Bonus,Bonus transaction,35049.43,Income
25-12-2024,Groceries,Groceries transaction,4438.92,Expense
08-01-2024,Investment,Investment transaction,46110.84,Income
19-08-2024,Bonus,Bonus transaction,7187.34,Income
29-03-2024,Travel,Travel transaction,1670.87,Expense
25-04-2024,Rent,Rent transaction,3569.37,Expense
04-02-2024,Transport,Transport transaction,4049.26,Expense
12-09-2024,Groceries,Groceries transaction,3654.65,Expense
30-09-2024,Transport,Transport transaction,747.0,Expense
17-07-2024,Travel,Travel transaction,4875.63,Expense
26-12-2024,Shopping,Shopping transaction,3043.81,Expense
01-01-2024,Utilities,Utilities transaction,1993.68,Expense
06-12-2024,Bills,Bills transaction,4346.13,Expense
01-05-2024,Bills,Bills transaction,2968.74,Expense
18-06-2024,Freelance,Freelance transaction,12537.71,Income
23-03-2024,Investment,Investment transaction,47901.93,Income
29-11-2024,Utilities,Utilities transaction,2308.13,Expense
27-03-2024,Freelance,Freelance transaction,64348.59,Income
28-01-2024,Shopping,Shopping transaction,4209.98,Expense
24-06-2024,Shopping,Shopping transaction,1305.19,Expense
19-10-2024,Bills,Bills transaction,2451.22,Expense
27-12-2024,Rent,Rent transaction,4223.07,Expense
16-11-2024,Gift,Gift transaction,16506.2,Income
10-08-2024,Gift,Gift transaction,16250.83,Income
22-01-2024,Rent,Rent transaction,2813.29,Expense
16-08-2024,Groceries,Groceries transaction,2625.35,Expense
09-08-2024,Health,Health transaction,4017.87,Expense
08-03-2024,Salary,Salary transaction,64924.86,Income
19-07-2024,Food,Food transaction,4680.09,Expense
26-09-2024,Gift,Gift transaction,76110.35,Income
12-09-2024,Shopping,Shopping transaction,1040.39,Expense
24-08-2024,Entertainment,Entertainment transaction,409.34,Expense
24-06-2024,Bonus,Bonus transaction,37740.81,Income
28-01-2024,Health,Health transaction,3422.41,Expense
06-02-2024,Investment,Investment transaction,17006.02,Income
04-07-2024,Utilities,Utilities transaction,2551.74,Expense
09-03-2024,Gift,Gift transaction,78154.53,Income
19-05-2024,Food,Food transaction,2635.76,Expense
23-05-2024,Groceries,Groceries transaction,4815.53,Expense
18-06-2024,Freelance,Freelance transaction,6631.22,Income
12-02-2024,Travel,Travel transaction,4854.52,Expense
25-12-2024,Health,Health transaction,1159.8,Expense
11-10-2024,Rent,Rent transaction,364.06,Expense
22-10-2024,Investment,Investment transaction,33390.57,Income
17-03-2024,Rent,Rent transaction,687.99,Expense
06-08-2024,Travel,Travel transaction,1121.09,Expense
26-04-2024,Groceries,Groceries transaction,3899.56,Expense
14-02-2024,Rent,Rent transaction,3211.53,Expense
02-02-2024,Bonus,Bonus transaction,21471.12,Income
05-08-2024,Bills,Bills transaction,4934.9,Expense
01-07-2024,Health,Health transaction,3096.12,Expense
22-06-2024,Bills,Bills transaction,3356.56,Expense
05-05-2024,Transport,Transport transaction,79.88,Expense
07-08-2024,Gift,Gift transaction,56769.92,Income
22-05-2024,Rent,Rent transaction,2297.2,Expense
21-02-2024,Rent,Rent transaction,4472.9,Expense
02-11-2024,Freelance,Freelance transaction,70124.16,Income
18-10-2024,Food,Food transaction,51.18,Expense
01-09-2024,Investment,Investment transaction,47002.37,Income
26-05-2024,Bills,Bills transaction,563.77,Expense
20-02-2024,Investment,Investment transaction,26744.56,Income
03-01-2024,Food,Food transaction,2213.92,Expense
10-08-2024,Rent,Rent transaction,2497.93,Expense
05-07-2024,Transport,Transport transaction,55.08,Expense
29-11-2024,Shopping,Shopping transaction,1372.63,Expense
22-05-2024,Health,Health transaction,4746.13,Expense
17-06-2024,Entertainment,Entertainment transaction,4928.3,Expense
19-11-2024,Travel,Travel transaction,4037.13,Expense
11-07-2024,Bills,Bills transaction,2858.24,Expense
23-02-2024,Gift,Gift transaction,48574.0,Income
03-02-2024,Travel,Travel transaction,4713.48,Expense
11-02-2024,Bills,Bills transaction,3725.11,Expense
10-03-2024,Freelance,Freelance transaction,57999.53,Income
03-12-2024,Freelance,Freelance transaction,8776.68,Income
11-11-2024,Rent,Rent transaction,2811.89,Expense
23-01-2024,Shopping,Shopping transaction,71.61,Expense
12-03-2024,Utilities,Utilities transaction,2538.61,Expense
18-01-2024,Salary,Salary transaction,32611.37,Income
29-03-2024,Bills,Bills transaction,1947.3,Expense
05-12-2024,Food,Food transaction,4889.19,Expense
30-08-2024,Groceries,Groceries transaction,1130.32,Expense
24-11-2024,Salary,Salary transaction,35774.95,Income
07-07-2024,Freelance,Freelance transaction,13506.6,Income
10-12-2024,Groceries,Groceries transaction,3892.67,Expense
06-11-2024,Entertainment,Entertainment transaction,3741.93,Expense
30-12-2024,Transport,Transport transaction,2456.56,Expense
11-02-2024,Entertainment,Entertainment transaction,1853.44,Expense
14-06-2024,Entertainment,Entertainment transaction,3832.77,Expense
05-11-2024,Groceries,Groceries transaction,1199.7,Expense
07-09-2024,Utilities,Utilities transaction,1727.75,Expense
17-10-2024,Bonus,Bonus transaction,21178.81,Income
30-12-2024,Entertainment,Entertainment transaction,4549.44,Expense
24-04-2024,Bonus,Bonus transaction,25197.06,Income
26-12-2024,Utilities,Utilities transaction,4695.81,Expense
24-02-2024,Groceries,Groceries transaction,1495.87,Expense
23-07-2024,Shopping,Shopping transaction,1010.24,Expense
16-02-2024,Rent,Rent transaction,1258.32,Expense
20-03-2024,Food,Food transaction,4359.03,Expense
16-05-2024,Groceries,Groceries transaction,959.55,Expense
10-01-2024,Bills,Bills transaction,784.48,Expense
12-03-2024,Investment,Investment transaction,57539.88,Income
28-07-2024,Groceries,Groceries transaction,4415.19,Expense
19-08-2024,Entertainment,Entertainment transaction,902.72,Expense
20-12-2024,Entertainment,Entertainment transaction,2789.66,Expense
09-10-2024,Gift,Gift transaction,46741.86,Income
20-11-2024,Shopping,Shopping transaction,2242.84,Expense
21-03-2024,Groceries,Groceries transaction,1203.73,Expense
22-08-2024,Rent,Rent transaction,405.9,Expense
13-01-2024,Rent,Rent transaction,3793.14,Expense
30-03-2024,Travel,Travel transaction,2034.11,Expense
03-07-2024,Travel,Travel transaction,1934.28,Expense
04-02-2024,Shopping,Shopping transaction,3833.82,Expense
21-05-2024,Health,Health transaction,313.06,Expense
27-07-2024,Bills,Bills transaction,4987.85,Expense
14-12-2024,Bills,Bills transaction,3962.56,Expense
17-09-2024,Travel,Travel transaction,1944.22,Expense
12-05-2024,Entertainment,Entertainment transaction,2106.31,Expense
02-06-2024,Transport,Transport transaction,1731.51,Expense
17-08-2024,Rent,Rent transaction,1007.27,Expense
11-03-2024,Health,Health transaction,1146.55,Expense
20-07-2024,Groceries,Groceries transaction,174.61,Expense
28-11-2024,Salary,Salary transaction,70531.34,Income
08-11-2024,Travel,Travel transaction,3857.67,Expense
25-09-2024,Shopping,Shopping transaction,2772.82,Expense
24-05-2024,Utilities,Utilities transaction,2605.41,Expense
24-10-2024,Investment,Investment transaction,48665.92,Income
19-01-2024,Travel,Travel transaction,4410.89,Expense
28-09-2024,Bonus,Bonus transaction,60838.89,Income
13-04-2024,Food,Food transaction,1306.1,Expense
13-06-2024,Salary,Salary transaction,43012.91,Income
24-10-2024,Gift,Gift transaction,66851.24,Income
16-12-2024,Utilities,Utilities transaction,2898.83,Expense
07-02-2024,Transport,Transport transaction,146.62,Expense
31-05-2024,Travel,Travel transaction,3186.69,Expense
24-09-2024,Gift,Gift transaction,70019.28,Income
09-08-2024,Travel,Travel transaction,862.04,Expense
07-10-2024,Shopping,Shopping transaction,2745.59,Expense
20-10-2024,Travel,Travel transaction,338.45,Expense
16-03-2024,Food,Food transaction,4123.51,Expense
02-02-2024,Health,Health transaction,2549.08,Expense
18-09-2024,Transport,Transport transaction,3193.98,Expense
02-03-2024,Freelance,Freelance transaction,11774.95,Income
19-06-2024,Groceries,Groceries transaction,3834.06,Expense
16-01-2024,Entertainment,Entertainment transaction,3002.83,Expense
19-08-2024,Travel,Travel transaction,3226.29,Expense
16-04-2024,Bonus,Bonus transaction,36058.19,Income
07-09-2024,Investment,Investment transaction,10187.47,Income
22-07-2024,Health,Health transaction,860.37,Expense
08-04-2024,Travel,Travel transaction,2239.17,Expense
26-07-2024,Bonus,Bonus transaction,46822.36,Income
17-11-2024,Bills,Bills transaction,2450.85,Expense
01-08-2024,Groceries,Groceries transaction,3602.95,Expense
01-04-2024,Utilities,Utilities transaction,3779.58,Expense
25-06-2024,Travel,Travel transaction,1405.93,Expense
21-12-2024,Gift,Gift transaction,6217.48,Income
02-08-2024,Groceries,Groceries transaction,4652.83,Expense
26-09-2024,Shopping,Shopping transaction,903.31,Expense
27-12-2024,Bills,Bills transaction,849.56,Expense
15-11-2024,Shopping,Shopping transaction,3831.37,Expense
04-07-2024,Rent,Rent transaction,615.19,Expense
25-02-2024,Gift,Gift transaction,37373.3,Income
31-10-2024,Rent,Rent transaction,1511.09,Expense
19-09-2024,Travel,Travel transaction,1332.17,Expense
04-10-2024,Investment,Investment transaction,18073.69,Income
12-04-2024,Bills,Bills transaction,4671.95,Expense
02-03-2024,Investment,Investment transaction,51073.49,Income
02-01-2024,Food,Food transaction,3604.61,Expense
24-12-2024,Rent,Rent transaction,1931.51,Expense
02-06-2024,Rent,Rent transaction,677.75,Expense
05-11-2024,Bills,Bills transaction,195.77,Expense
12-11-2024,Bonus,Bonus transaction,66733.16,Income
30-09-2024,Salary,Salary transaction,19492.24,Income
09-08-2024,Travel,Travel transaction,4173.39,Expense
08-11-2024,Food,Food transaction,509.73,Expense
26-07-2024,Freelance,Freelance transaction,71609.02,Income
29-12-2024,Entertainment,Entertainment transaction,4952.08,Expense
12-08-2024,Freelance,Freelance transaction,30164.23,Income
04-10-2024,Entertainment,Entertainment transaction,2908.46,Expense
09-08-2024,Health,Health transaction,1155.35,Expense
06-09-2024,Shopping,Shopping transaction,3576.05,Expense
30-03-2024,Bonus,Bonus transaction,8699.27,Income
22-07-2024,Shopping,Shopping transaction,1861.73,Expense
15-12-2024,Utilities,Utilities transaction,3230.48,Expense
15-12-2024,Health,Health transaction,760.43,Expense
02-10-2024,Entertainment,Entertainment transaction,3149.64,Expense
30-10-2024,Entertainment,Entertainment transaction,4446.76,Expense
02-06-2024,Shopping,Shopping transaction,2268.32,Expense
28-08-2024,Rent,Rent transaction,3542.92,Expense
28-06-2024,Bonus,Bonus transaction,77919.52,Income
19-12-2024,Utilities,Utilities transaction,1161.72,Expense
08-07-2024,Utilities,Utilities transaction,1402.22,Expense
07-09-2024,Food,Food transaction,2569.6,Expense
01-08-2024,Bonus,Bonus transaction,51173.14,Income
30-08-2024,Shopping,Shopping transaction,693.59,Expense
03-09-2024,Transport,Transport transaction,3255.52,Expense
06-07-2024,Entertainment,Entertainment transaction,539.15,Expense
01-02-2024,Travel,Travel transaction,4783.33,Expense
08-04-2024,Salary,Salary transaction,60348.98,Income
28-07-2024,Transport,Transport transaction,1511.65,Expense
29-05-2024,Transport,Transport transaction,2565.15,Expense
23-01-2024,Entertainment,Entertainment transaction,1680.31,Expense
15-04-2024,Utilities,Utilities transaction,3835.24,Expense
29-09-2024,Bills,Bills transaction,3479.46,Expense
09-11-2024,Shopping,Shopping transaction,1914.13,Expense
08-04-2024,Bonus,Bonus transaction,72565.23,Income
01-06-2024,Gift,Gift transaction,69848.35,Income
29-05-2024,Bills,Bills transaction,799.52,Expense
05-02-2024,Food,Food transaction,4980.61,Expense
25-10-2024,Utilities,Utilities transaction,2834.12,Expense
03-12-2024,Utilities,Utilities transaction,842.6,Expense
30-04-2024,Shopping,Shopping transaction,1728.8,Expense
10-05-2024,Gift,Gift transaction,63702.86,Income
26-12-2024,Travel,Travel transaction,1658.5,Expense
04-01-2024,Entertainment,Entertainment transaction,1559.7,Expense
29-06-2024,Entertainment,Entertainment transaction,3804.73,Expense
02-10-2024,Travel,Travel transaction,1404.64,Expense
25-06-2024,Investment,Investment transaction,59357.09,Income
16-03-2024,Investment,Investment transaction,25054.7,Income
08-12-2024,Freelance,Freelance transaction,41535.66,Income
22-02-2024,Rent,Rent transaction,4983.15,Expense
05-05-2024,Utilities,Utilities transaction,875.04,Expense
23-03-2024,Transport,Transport transaction,3198.86,Expense
05-10-2024,Bills,Bills transaction,4161.44,Expense
10-06-2024,Food,Food transaction,4504.67,Expense
14-02-2024,Groceries,Groceries transaction,789.91,Expense
15-04-2024,Travel,Travel transaction,1617.81,Expense
17-02-2024,Entertainment,Entertainment transaction,187.38,Expense
09-05-2024,Transport,Transport transaction,2949.6,Expense
01-07-2024,Travel,Travel transaction,1665.09,Expense
27-01-2024,Salary,Salary transaction,62838.72,Income
15-03-2024,Rent,Rent transaction,1909.45,Expense
15-09-2024,Transport,Transport transaction,1547.74,Expense
09-06-2024,Gift,Gift transaction,21550.71,Income
04-08-2024,Entertainment,Entertainment transaction,1183.84,Expense
16-09-2024,Transport,Transport transaction,2663.75,Expense
13-01-2024,Shopping,Shopping transaction,498.67,Expense
05-12-2024,Freelance,Freelance transaction,45675.39,Income
27-02-2024,Groceries,Groceries transaction,4967.58,Expense
24-07-2024,Bills,Bills transaction,4829.35,Expense
28-01-2024,Rent,Rent transaction,3874.78,Expense
22-05-2024,Utilities,Utilities transaction,3532.52,Expense
26-12-2024,Health,Health transaction,3624.31,Expense
10-07-2024,Food,Food transaction,2161.89,Expense
17-08-2024,Entertainment,Entertainment transaction,1031.75,Expense
01-11-2024,Food,Food transaction,67.96,Expense
11-06-2024,Health,Health transaction,2579.41,Expense
18-10-2024,Bills,Bills transaction,4303.22,Expense
18-03-2024,Transport,Transport transaction,2170.59,Expense
21-04-2024,Entertainment,Entertainment transaction,1453.29,Expense
11-04-2024,Travel,Travel transaction,4940.0,Expense
14-12-2024,Groceries,Groceries transaction,2851.69,Expense
20-11-2024,Health,Health transaction,563.92,Expense
03-02-2024,Bonus,Bonus transaction,27125.36,Income
15-10-2024,Bonus,Bonus transaction,24663.26,Income
30-11-2024,Travel,Travel transaction,2447.76,Expense
20-06-2024,Groceries,Groceries transaction,3270.49,Expense
27-08-2024,Bills,Bills transaction,4298.01,Expense
25-11-2024,Entertainment,Entertainment transaction,3885.12,Expense
13-05-2024,Food,Food transaction,2046.37,Expense
07-12-2024,Health,Health transaction,440.61,Expense
03-03-2024,Bonus,Bonus transaction,39463.69,Income
15-10-2024,Utilities,Utilities transaction,84.0,Expense
06-01-2024,Entertainment,Entertainment transaction,2011.04,Expense
03-06-2024,Travel,Travel transaction,2309.98,Expense
24-09-2024,Shopping,Shopping transaction,3491.22,Expense
19-07-2024,Entertainment,Entertainment transaction,3970.17,Expense
09-12-2024,Gift,Gift transaction,9221.59,Income
20-08-2024,Utilities,Utilities transaction,1113.24,Expense
25-06-2024,Salary,Salary transaction,79958.0,Income
24-12-2024,Freelance,Freelance transaction,14631.12,Income
19-06-2024,Rent,Rent transaction,2191.08,Expense
05-05-2024,Health,Health transaction,4792.36,Expense
13-02-2024,Shopping,Shopping transaction,1975.87,Expense
11-12-2024,Gift,Gift transaction,29235.24,Income
05-07-2024,Groceries,Groceries transaction,396.36,Expense
25-01-2024,Gift,Gift transaction,78845.0,Income
15-01-2024,Health,Health transaction,845.9,Expense
17-10-2024,Bills,Bills transaction,3938.13,Expense
19-03-2024,Travel,Travel transaction,1158.04,Expense
23-06-2024,Entertainment,Entertainment transaction,4058.0,Expense
17-01-2024,Food,Food transaction,987.27,Expense
21-03-2024,Groceries,Groceries transaction,2266.28,Expense
15-12-2024,Transport,Transport transaction,567.79,Expense
14-02-2024,Bonus,Bonus transaction,38744.85,Income
27-04-2024,Food,Food transaction,1199.12,Expense
16-12-2024,Bonus,Bonus transaction,24130.89,Income
14-03-2024,Rent,Rent transaction,2452.04,Expense
28-09-2024,Rent,Rent transaction,4659.6,Expense
06-02-2024,Investment,Investment transaction,72763.38,Income
25-07-2024,Shopping,Shopping transaction,2775.31,Expense
24-12-2024,Entertainment,Entertainment transaction,1129.16,Expense
13-10-2024,Groceries,Groceries transaction,1038.66,Expense
11-11-2024,Travel,Travel transaction,1485.8,Expense
14-07-2024,Health,Health transaction,3750.33,Expense
05-04-2024,Salary,Salary transaction,34529.2,Income
14-05-2024,Health,Health transaction,3779.79,Expense
22-03-2024,Bonus,Bonus transaction,56436.12,Income
29-01-2024,Utilities,Utilities transaction,2391.74,Expense
14-04-2024,Utilities,Utilities transaction,1147.6,Expense
24-05-2024,Food,Food transaction,4341.01,Expense
22-09-2024,Rent,Rent transaction,2946.71,Expense
29-08-2024,Utilities,Utilities transaction,398.24,Expense
13-12-2024,Utilities,Utilities transaction,362.81,Expense
13-08-2024,Travel,Travel transaction,754.76,Expense
11-11-2024,Health,Health transaction,2776.72,Expense
26-02-2024,Salary,Salary transaction,39631.45,Income
27-06-2024,Groceries,Groceries transaction,4662.81,Expense
26-12-2024,Entertainment,Entertainment transaction,4658.4,Expense
14-04-2024,Transport,Transport transaction,2351.75,Expense
29-06-2024,Rent,Rent transaction,3130.54,Expense
05-04-2024,Transport,Transport transaction,1832.93,Expense
24-07-2024,Groceries,Groceries transaction,3010.0,Expense
10-09-2024,Shopping,Shopping transaction,3688.92,Expense
03-05-2024,Travel,Travel transaction,4454.72,Expense
06-10-2024,Rent,Rent transaction,416.38,Expense
21-02-2024,Health,Health transaction,4343.31,Expense
28-07-2024,Food,Food transaction,4636.81,Expense
04-01-2024,Rent,Rent transaction,2956.05,Expense
31-07-2024,Bills,Bills transaction,836.36,Expense
03-01-2024,Entertainment,Entertainment transaction,122.17,Expense
18-04-2024,Shopping,Shopping transaction,869.51,Expense
23-08-2024,Entertainment,Entertainment transaction,307.23,Expense
07-11-2024,Transport,Transport transaction,3446.97,Expense
19-03-2024,Salary,Salary transaction,73779.08,Income
06-01-2024,Health,Health transaction,195.49,Expense
27-07-2024,Health,Health transaction,2033.23,Expense
15-02-2024,Health,Health transaction,2348.16,Expense
08-06-2024,Bonus,Bonus transaction,16880.19,Income
20-09-2024,Shopping,Shopping transaction,1458.43,Expense
24-04-2024,Entertainment,Entertainment transaction,4897.44,Expense
26-07-2024,Entertainment,Entertainment transaction,2414.64,Expense
22-05-2024,Bills,Bills transaction,1447.37,Expense
11-04-2024,Food,Food transaction,3512.63,Expense
23-09-2024,Entertainment,Entertainment transaction,416.09,Expense
20-07-2024,Transport,Transport transaction,4955.39,Expense
04-06-2024,Freelance,Freelance transaction,8143.91,Income
26-05-2024,Gift,Gift transaction,12382.04,Income
23-01-2024,Food,Food transaction,3053.06,Expense
08-02-2024,Food,Food transaction,1954.56,Expense
20-08-2024,Investment,Investment transaction,17051.36,Income
12-04-2024,Food,Food transaction,843.98,Expense
17-11-2024,Entertainment,Entertainment transaction,3412.04,Expense
13-02-2024,Investment,Investment transaction,12038.4,Income
30-06-2024,Groceries,Groceries transaction,953.29,Expense
03-03-2024,Groceries,Groceries transaction,2310.71,Expense
27-02-2024,Entertainment,Entertainment transaction,1773.96,Expense
11-01-2024,Shopping,Shopping transaction,4019.43,Expense
27-09-2024,Groceries,Groceries transaction,2757.62,Expense
04-05-2024,Food,Food transaction,4585.16,Expense
15-03-2024,Rent,Rent transaction,779.72,Expense
10-02-2024,Gift,Gift transaction,20883.79,Income
06-03-2024,Salary,Salary transaction,75698.91,Income
13-04-2024,Utilities,Utilities transaction,2780.43,Expense
18-03-2024,Entertainment,Entertainment transaction,546.67,Expense
06-11-2024,Groceries,Groceries transaction,107.08,Expense
28-07-2024,Travel,Travel transaction,2887.46,Expense
17-06-2024,Investment,Investment transaction,70318.17,Income
17-05-2024,Bills,Bills transaction,2941.79,Expense
20-12-2024,Health,Health transaction,4530.23,Expense
14-05-2024,Travel,Travel transaction,4974.93,Expense
30-10-2024,Investment,Investment transaction,15130.0,Income
10-03-2024,Shopping,Shopping transaction,3906.14,Expense
30-11-2024,Transport,Transport transaction,2360.98,Expense
05-07-2024,Shopping,Shopping transaction,1397.61,Expense
05-07-2024,Shopping,Shopping transaction,606.89,Expense
02-11-2024,Travel,Travel transaction,2452.09,Expense
08-11-2024,Utilities,Utilities transaction,301.87,Expense
02-03-2024,Transport,Transport transaction,3334.55,Expense
08-09-2024,Entertainment,Entertainment transaction,4667.83,Expense
11-05-2024,Rent,Rent transaction,1826.18,Expense
28-01-2024,Food,Food transaction,4427.03,Expense
20-10-2024,Bills,Bills transaction,910.22,Expense
30-04-2024,Shopping,Shopping transaction,2778.31,Expense
27-03-2024,Bills,Bills transaction,2770.12,Expense
05-09-2024,Gift,Gift transaction,33559.9,Income
09-12-2024,Salary,Salary transaction,47115.07,Income
21-06-2024,Bills,Bills transaction,3866.9,Expense
27-03-2024,Rent,Rent transaction,4709.97,Expense
14-03-2024,Travel,Travel transaction,475.86,Expense
01-01-2024,Entertainment,Entertainment transaction,496.54,Expense
03-07-2024,Investment,Investment transaction,51912.73,Income
03-10-2024,Entertainment,Entertainment transaction,847.58,Expense
02-07-2024,Bonus,Bonus transaction,24286.33,Income
16-05-2024,Investment,Investment transaction,43263.05,Income
06-10-2024,Gift,Gift transaction,10438.47,Income
09-09-2024,Groceries,Groceries transaction,2086.78,Expense
09-07-2024,Food,Food transaction,447.58,Expense
28-10-2024,Groceries,Groceries transaction,1052.49,Expense
02-04-2024,Groceries,Groceries transaction,799.64,Expense
01-04-2024,Salary,Salary transaction,72624.65,Income
07-07-2024,Rent,Rent transaction,4404.37,Expense
17-02-2024,Entertainment,Entertainment transaction,993.21,Expense
18-12-2024,Entertainment,Entertainment transaction,1012.72,Expense
18-10-2024,Transport,Transport transaction,384.58,Expense
